occupation,language,word_form_type,translation_id,translation
baker,hebrew,male_form,t1,אופה
author,hebrew,male_form,t1,סופר
athlete,hebrew,male_form,t1,ספורטאי
lawyer,hebrew,male_form,t1,עורך_דין
doctor/physician,hebrew,male_form,t1,רופא
professor,hebrew,male_form,t1,פרופסור
governor,hebrew,male_form,t1,מושל
judge,hebrew,male_form,t1,שופט
sailor,hebrew,male_form,t1,מלח
postman/postwoman,hebrew,male_form,t1,דור
mechanic,hebrew,male_form,t1,מכונאי
hunter,hebrew,male_form,t1,צייד
firefighter,hebrew,male_form,t1,כבאי
dancer,hindi,male_form,t1,नर्तकी
nurse,hindi,male_form,t1,नर्स
singer,hindi,male_form,t1,गायक[गायिका]
cleaner,hindi,male_form,t1,सफाईकर्मी
secretary,hindi,male_form,t1,सहायक[सहायिका]
waiter,hindi,male_form,t1,वेटर
journalist,hindi,male_form,t1,पत्रकार
baker,hindi,male_form,t1,बेकर
author,hindi,male_form,t1,लेखक[लेखिका]
athlete,hindi,male_form,t1,खिलाड़ी
lawyer,hindi,male_form,t1,वकील
doctor/physician,hindi,male_form,t1,चिकित्सक
professor,hindi,male_form,t1,प्राध्यापक
governor,hindi,male_form,t1,राज्यपाल
judge,hindi,male_form,t1,न्यायाधीश
sailor,hindi,male_form,t1,नाविक
postman/postwoman,hindi,male_form,t1,डाकिया
mechanic,hindi,male_form,t1,मिस्त्री
hunter,hindi,male_form,t1,शिकारी
firefighter,hindi,male_form,t1,अग्निशमन_कर्मचारी
dancer,"Serbian (latin)
",male_form,t1,plesač
nurse,"Serbian (latin)
",male_form,t1,medicinska_sestra
singer,"Serbian (latin)
",male_form,t1,pevač
cleaner,"Serbian (latin)
",male_form,t1,čistač
secretary,"Serbian (latin)
",male_form,t1,sekretar
waiter,"Serbian (latin)
",male_form,t1,konobar
journalist,"Serbian (latin)
",male_form,t1,novinar
baker,"Serbian (latin)
",male_form,t1,pekar
author,"Serbian (latin)
",male_form,t1,autor
athlete,"Serbian (latin)
",male_form,t1,sportista
lawyer,"Serbian (latin)
",male_form,t1,advokat
doctor/physician,"Serbian (latin)
",male_form,t1,doktor
professor,"Serbian (latin)
",male_form,t1,profesor
governor,"Serbian (latin)
",male_form,t1,guverner
judge,"Serbian (latin)
",male_form,t1,sudija
sailor,"Serbian (latin)
",male_form,t1,mornar
postman/postwoman,"Serbian (latin)
",male_form,t1,poštar
mechanic,"Serbian (latin)
",male_form,t1,mehaničar
hunter,"Serbian (latin)
",male_form,t1,lovac
firefighter,"Serbian (latin)
",male_form,t1,vatrogasac
dancer,serbian (cyrillic),male_form,t1,плесач
nurse,serbian (cyrillic),male_form,t1,медицинска_сестра
singer,serbian (cyrillic),male_form,t1,певач
cleaner,serbian (cyrillic),male_form,t1,чистач
secretary,serbian (cyrillic),male_form,t1,секретар
waiter,serbian (cyrillic),male_form,t1,конобар
journalist,serbian (cyrillic),male_form,t1,новинар
baker,serbian (cyrillic),male_form,t1,пекар
author,serbian (cyrillic),male_form,t1,аутор
athlete,serbian (cyrillic),male_form,t1,спортиста
lawyer,serbian (cyrillic),male_form,t1,адвокат
doctor/physician,serbian (cyrillic),male_form,t1,доктор
professor,serbian (cyrillic),male_form,t1,професор
governor,serbian (cyrillic),male_form,t1,гувернер
judge,serbian (cyrillic),male_form,t1,судија
sailor,serbian (cyrillic),male_form,t1,морнар
postman/postwoman,serbian (cyrillic),male_form,t1,поштар
mechanic,serbian (cyrillic),male_form,t1,механичар
hunter,serbian (cyrillic),male_form,t1,ловац
firefighter,serbian (cyrillic),male_form,t1,ватрогасац
dancer,indonesian,male_form,t1,penari
nurse,indonesian,male_form,t1,perawat
singer,indonesian,male_form,t1,penyanyi
cleaner,indonesian,male_form,t1,petugas_kebersihan
secretary,indonesian,male_form,t1,sekretaris
waiter,indonesian,male_form,t1,pelayan
journalist,indonesian,male_form,t1,jurnalis
baker,indonesian,male_form,t1,tukang_roti
author,indonesian,male_form,t1,pengarang
athlete,indonesian,male_form,t1,atlet
lawyer,indonesian,male_form,t1,pengacara
doctor/physician,indonesian,male_form,t1,dokter
professor,indonesian,male_form,t1,profesor
governor,indonesian,male_form,t1,gubernur
judge,indonesian,male_form,t1,mengadili
sailor,indonesian,male_form,t1,kelasi
postman/postwoman,indonesian,male_form,t1,tukang_pos
mechanic,indonesian,male_form,t1,montir
hunter,indonesian,male_form,t1,berburu
firefighter,indonesian,male_form,t1,petugas_pemadam_kebakaran
dancer,italian,male_form,t1,ballerino
nurse,italian,male_form,t1,infermiere
singer,italian,male_form,t1,cantante
cleaner,italian,male_form,t1,inserviente
secretary,italian,male_form,t1,segretario
waiter,italian,male_form,t1,cameriere
journalist,italian,male_form,t1,giornalista
baker,italian,male_form,t1,fornaio
author,italian,male_form,t1,autore
athlete,italian,male_form,t1,atleta
lawyer,italian,male_form,t1,avvocato
doctor/physician,italian,male_form,t1,dottore
professor,italian,male_form,t1,professore
governor,italian,male_form,t1,governatore
judge,italian,male_form,t1,giudice
sailor,italian,male_form,t1,marinaio
postman/postwoman,italian,male_form,t1,postino
mechanic,italian,male_form,t1,meccanico
hunter,italian,male_form,t1,cacciatore
firefighter,italian,male_form,t1,pompiere
dancer,japanese,male_form,t1,ダンサ
nurse,japanese,male_form,t1,看護師
singer,japanese,male_form,t1,歌手
cleaner,japanese,male_form,t1,清掃員
secretary,japanese,male_form,t1,秘書
waiter,japanese,male_form,t1,ウェイタ
journalist,japanese,male_form,t1,記者
baker,japanese,male_form,t1,パン屋
author,japanese,male_form,t1,作者
athlete,japanese,male_form,t1,選手
lawyer,japanese,male_form,t1,弁護士
doctor/physician,japanese,male_form,t1,医者
professor,japanese,male_form,t1,教授
governor,japanese,male_form,t1,知事
judge,japanese,male_form,t1,裁判官
sailor,japanese,male_form,t1,船員
postman/postwoman,japanese,male_form,t1,郵便配達員
mechanic,japanese,male_form,t1,メカニック
hunter,japanese,male_form,t1,猟師
firefighter,japanese,male_form,t1,消防士
dancer,dutch,male_form,t1,danser
nurse,dutch,male_form,t1,broeder
singer,dutch,male_form,t1,zanger
cleaner,dutch,male_form,t1,schoonmaker
secretary,dutch,male_form,t1,secretaris
waiter,dutch,male_form,t1,ober
journalist,dutch,male_form,t1,journalist
baker,dutch,male_form,t1,bakker
author,dutch,male_form,t1,schrijver
athlete,dutch,male_form,t1,atleet
lawyer,dutch,male_form,t1,advocaat
doctor/physician,dutch,male_form,t1,arts
professor,dutch,male_form,t1,professor
governor,dutch,male_form,t1,gouverneur
judge,dutch,male_form,t1,rechter
sailor,dutch,male_form,t1,zeiler
postman/postwoman,dutch,male_form,t1,postbode
mechanic,dutch,male_form,t1,monteur
hunter,dutch,male_form,t1,jager
firefighter,dutch,male_form,t1,brandweerman
dancer,malay,male_form,t1,penari
nurse,malay,male_form,t1,jururawat
singer,malay,male_form,t1,penyanyi
cleaner,malay,male_form,t1,pembersih
secretary,malay,male_form,t1,setiausaha
waiter,malay,male_form,t1,pelayan
journalist,malay,male_form,t1,wartawan
baker,malay,male_form,t1,pembakar_roti
author,malay,male_form,t1,penulis
athlete,malay,male_form,t1,atlet
lawyer,malay,male_form,t1,peguam
doctor/physician,malay,male_form,t1,doktor
professor,malay,male_form,t1,profesor
governor,malay,male_form,t1,pemerintah
judge,malay,male_form,t1,hakim
sailor,malay,male_form,t1,pelayar
postman/postwoman,malay,male_form,t1,posmen
mechanic,malay,male_form,t1,mekanik
hunter,malay,male_form,t1,pemburu
firefighter,malay,male_form,t1,ahli_bomba
dancer,korean,male_form,t1,댄서
nurse,korean,male_form,t1,간호사
singer,korean,male_form,t1,가수
cleaner,korean,male_form,t1,청소부
secretary,korean,male_form,t1,비서
waiter,korean,male_form,t1,종업원
baker,korean,male_form,t1,제빵사
author,korean,male_form,t1,작가
athlete,korean,male_form,t1,선수
lawyer,korean,male_form,t1,변호사
doctor/physician,korean,male_form,t1,의사
professor,korean,male_form,t1,교수님
governor,korean,male_form,t1,지배자
judge,korean,male_form,t1,판사
sailor,korean,male_form,t1,선원
postman/postwoman,korean,male_form,t1,우편집배원
mechanic,korean,male_form,t1,정비공
hunter,korean,male_form,t1,사냥꾼
firefighter,korean,male_form,t1,소방관
dancer,norwegian,male_form,t1,danser
nurse,norwegian,male_form,t1,skyepleier
singer,norwegian,male_form,t1,sanger
cleaner,norwegian,male_form,t1,hushjelp
secretary,norwegian,male_form,t1,sekretær
waiter,norwegian,male_form,t1,oppvarter
journalist,norwegian,male_form,t1,journalist
baker,norwegian,male_form,t1,baker
author,norwegian,male_form,t1,forfatter
athlete,norwegian,male_form,t1,atlet
lawyer,norwegian,male_form,t1,jurist
doctor/physician,norwegian,male_form,t1,doktor
professor,norwegian,male_form,t1,professor
governor,norwegian,male_form,t1,guvernør
judge,norwegian,male_form,t1,dommer
sailor,norwegian,male_form,t1,sjømann
postman/postwoman,norwegian,male_form,t1,postbud
mechanic,norwegian,male_form,t1,mekaniker
hunter,norwegian,male_form,t1,jeger
firefighter,norwegian,male_form,t1,brannmann
dancer,polish,male_form,t1,tańcerz
nurse,polish,male_form,t1,pielęgniarz
singer,polish,male_form,t1,śpiewasz
cleaner,polish,male_form,t1,sprzątacz
secretary,polish,male_form,t1,sekretarz
waiter,polish,male_form,t1,kelner
journalist,polish,male_form,t1,dziennikarz
baker,polish,male_form,t1,piekarz
author,polish,male_form,t1,pisarz
athlete,polish,male_form,t1,atleta
lawyer,polish,male_form,t1,prawnik
doctor/physician,polish,male_form,t1,doktor
professor,polish,male_form,t1,profesor
governor,polish,male_form,t1,wojewoda
judge,polish,male_form,t1,sędzia
sailor,polish,male_form,t1,żeglarz
postman/postwoman,polish,male_form,t1,listonosz
mechanic,polish,male_form,t1,mechanik
hunter,polish,male_form,t1,myśliwy
firefighter,polish,male_form,t1,strażak
dancer,portuguese,male_form,t1,dançarino
nurse,portuguese,male_form,t1,enfermeiro
singer,portuguese,male_form,t1,cantor
cleaner,portuguese,male_form,t1,faxineiro
secretary,portuguese,male_form,t1,secretário
waiter,portuguese,male_form,t1,garçom
journalist,portuguese,male_form,t1,jornalista
baker,portuguese,male_form,t1,padeiro
author,portuguese,male_form,t1,autor
athlete,portuguese,male_form,t1,atleta
lawyer,portuguese,male_form,t1,advogado
doctor/physician,portuguese,male_form,t1,médico
professor,portuguese,male_form,t1,professor
governor,portuguese,male_form,t1,governador
judge,portuguese,male_form,t1,juiz
sailor,portuguese,male_form,t1,marinheiro
postman/postwoman,portuguese,male_form,t1,carteiro
mechanic,portuguese,male_form,t1,mecânico
hunter,portuguese,male_form,t1,caçador
firefighter,portuguese,male_form,t1,bombeiro
dancer,romanian,male_form,t1,dansator
nurse,romanian,male_form,t1,infirmieră
singer,romanian,male_form,t1,cântăreţ
secretary,romanian,male_form,t1,secretar
waiter,romanian,male_form,t1,chelner
journalist,romanian,male_form,t1,jurnalist
baker,romanian,male_form,t1,brutar
author,romanian,male_form,t1,autor
athlete,romanian,male_form,t1,atlet
lawyer,romanian,male_form,t1,avocat
doctor/physician,romanian,male_form,t1,medic
professor,romanian,male_form,t1,profesor
governor,romanian,male_form,t1,guvernator
judge,romanian,male_form,t1,judecător
sailor,romanian,male_form,t1,marinar
postman/postwoman,romanian,male_form,t1,postas
mechanic,romanian,male_form,t1,maşinist
hunter,romanian,male_form,t1,vânător
firefighter,romanian,male_form,t1,pompier
dancer,swedish,male_form,t1,dansare
nurse,swedish,male_form,t1,sjukskötare
singer,swedish,male_form,t1,sångare
cleaner,swedish,male_form,t1,städare
secretary,swedish,male_form,t1,sekreterare
waiter,swedish,male_form,t1,servitör
journalist,swedish,male_form,t1,journalist
baker,swedish,male_form,t1,bagare
author,swedish,male_form,t1,författare
athlete,swedish,male_form,t1,idrottare
lawyer,swedish,male_form,t1,jurist
doctor/physician,swedish,male_form,t1,doktor
professor,swedish,male_form,t1,professor
governor,swedish,male_form,t1,guvernör
judge,swedish,male_form,t1,domare
sailor,swedish,male_form,t1,sjöman
postman/postwoman,swedish,male_form,t1,brevbärare
mechanic,swedish,male_form,t1,mekaniker
hunter,swedish,male_form,t1,jägare
firefighter,swedish,male_form,t1,brandman
dancer,tagalog,male_form,t1,mananayaw
nurse,tagalog,male_form,t1,nars
singer,tagalog,male_form,t1,mang_aawit
cleaner,tagalog,male_form,t1,katulong
secretary,tagalog,male_form,t1,sekretarya
waiter,tagalog,male_form,t1,serbidor
journalist,tagalog,male_form,t1,peryodista
baker,tagalog,male_form,t1,magtitinapay
author,tagalog,male_form,t1,autor
athlete,tagalog,male_form,t1,manlalaro
lawyer,tagalog,male_form,t1,abogado
doctor/physician,tagalog,male_form,t1,doktor
professor,tagalog,male_form,t1,dalubguro
governor,tagalog,male_form,t1,gobernador
judge,tagalog,male_form,t1,hukom
sailor,tagalog,male_form,t1,mandaragat
postman/postwoman,tagalog,male_form,t1,kartero
mechanic,tagalog,male_form,t1,mekaniko
hunter,tagalog,male_form,t1,mangangaso
firefighter,tagalog,male_form,t1,bumbero
dancer,turkish,male_form,t1,dansçi
nurse,turkish,male_form,t1,hemşire
singer,turkish,male_form,t1,şarkıcı
cleaner,turkish,male_form,t1,temizleyici
secretary,turkish,male_form,t1,sekreter
waiter,turkish,male_form,t1,garson
journalist,turkish,male_form,t1,gazeteci
baker,turkish,male_form,t1,fırıncı
author,turkish,male_form,t1,yazar
athlete,turkish,male_form,t1,atlet
lawyer,turkish,male_form,t1,avukat
doctor/physician,turkish,male_form,t1,doktor
professor,turkish,male_form,t1,profesör
governor,turkish,male_form,t1,vali
judge,turkish,male_form,t1,hâkim
sailor,turkish,male_form,t1,denizci
postman/postwoman,turkish,male_form,t1,postacı
mechanic,turkish,male_form,t1,makinist
hunter,turkish,male_form,t1,avcı
firefighter,turkish,male_form,t1,itfaiyeci
dancer,chinese,male_form,t1,舞者
nurse,chinese,male_form,t1,护士
singer,chinese,male_form,t1,歌手
cleaner,chinese,male_form,t1,保洁员
secretary,chinese,male_form,t1,秘书
waiter,chinese,male_form,t1,服务员
journalist,chinese,male_form,t1,记者
baker,chinese,male_form,t1,糕点师
author,chinese,male_form,t1,作家
athlete,chinese,male_form,t1,运动员
lawyer,chinese,male_form,t1,律师
doctor/physician,chinese,male_form,t1,医生
professor,chinese,male_form,t1,教授
judge,chinese,male_form,t1,法官
sailor,chinese,male_form,t1,船员
postman/postwoman,chinese,male_form,t1,邮递员
mechanic,chinese,male_form,t1,技工
hunter,chinese,male_form,t1,猎人
firefighter,chinese,male_form,t1,消防员
dancer,zulu,male_form,t1,umdansi
nurse,zulu,male_form,t1,umhlengikazi
singer,zulu,male_form,t1,umculi
secretary,zulu,male_form,t1,unobhalajikelele
waiter,zulu,male_form,t1,uweta
journalist,zulu,male_form,t1,intatheli
baker,zulu,male_form,t1,umbhaki
author,zulu,male_form,t1,umenzi
athlete,zulu,male_form,t1,umbaleki
lawyer,zulu,male_form,t1,ummeli
doctor/physician,zulu,male_form,t1,udokotela
professor,zulu,male_form,t1,usolwazi
governor,zulu,male_form,t1,umbusi
judge,zulu,male_form,t1,umehluleli
sailor,zulu,male_form,t1,itilosi
postman/postwoman,zulu,male_form,t1,okuthwala_imeyili
mechanic,zulu,male_form,t1,umakheniki
hunter,zulu,male_form,t1,umzingeli
firefighter,zulu,male_form,t1,umacishumlilo
dancer,german,male_form,t1,tänzer
nurse,german,male_form,t1,pfleger
singer,german,male_form,t1,sänger
cleaner,german,male_form,t1,reinigungskraft
secretary,german,male_form,t1,sekretär
waiter,german,male_form,t1,bedienung
journalist,german,male_form,t1,journalist
baker,german,male_form,t1,bäcker
author,german,male_form,t1,schriftsteller
athlete,german,male_form,t1,sportler
lawyer,german,male_form,t1,rechtsanwalt
doctor/physician,german,male_form,t1,arzt
professor,german,male_form,t1,professor
governor,german,male_form,t1,gouverneur
judge,german,male_form,t1,richter
sailor,german,male_form,t1,seemann
postman/postwoman,german,male_form,t1,briefträger
mechanic,german,male_form,t1,mechaniker
hunter,german,male_form,t1,jäger
firefighter,german,male_form,t1,feuerwehrmann
dancer,english,female_form,t1,dancer
nurse,english,female_form,t1,nurse
singer,english,female_form,t1,singer
cleaner,english,female_form,t1,cleaner
secretary,english,female_form,t1,secretary
waiter,english,female_form,t1,waitress
journalist,english,female_form,t1,journalist
baker,english,female_form,t1,baker
author,english,female_form,t1,authoress
athlete,english,female_form,t1,athlete
lawyer,english,female_form,t1,lawyer
doctor/physician,english,female_form,t1,doctor
professor,english,female_form,t1,professor
governor,english,female_form,t1,governor
judge,english,female_form,t1,judge
sailor,english,female_form,t1,sailor
postman/postwoman,english,female_form,t1,postwoman
mechanic,english,female_form,t1,mechanic
hunter,english,female_form,t1,hunter
firefighter,english,female_form,t1,firefighter
dancer,arabic,female_form,t1,راقصة
nurse,arabic,female_form,t1,ممرضة
singer,arabic,female_form,t1,مطرب
cleaner,arabic,female_form,t1,منظف
secretary,arabic,female_form,t1,سكرتير
waiter,arabic,female_form,t1,نادل
journalist,arabic,female_form,t1,صحافي
baker,arabic,female_form,t1,خباز
author,arabic,female_form,t1,مؤلف
athlete,arabic,female_form,t1,رياضي
lawyer,arabic,female_form,t1,المحامية
doctor/physician,arabic,female_form,t1,طبيب
professor,arabic,female_form,t1,دكتور_جامعى
governor,arabic,female_form,t1,محافظ_حاكم
judge,arabic,female_form,t1,القاضي
sailor,arabic,female_form,t1,بحار
postman/postwoman,arabic,female_form,t1,ساعي_البريد
mechanic,arabic,female_form,t1,الميكانيكي
hunter,arabic,female_form,t1,صياد
firefighter,arabic,female_form,t1,رجال_الاطفاء
dancer,danish,female_form,t1,danserinde
nurse,danish,female_form,t1,sygeplejerske
singer,danish,female_form,t1,sangerinde
cleaner,danish,female_form,t1,rengøringsdame
secretary,danish,female_form,t1,sekratær
waiter,danish,female_form,t1,tjenerinde
journalist,danish,female_form,t1,journalist
baker,danish,female_form,t1,bager
author,danish,female_form,t1,forfatterinde
athlete,danish,female_form,t1,atlet
lawyer,danish,female_form,t1,advokat
doctor/physician,danish,female_form,t1,læge
professor,danish,female_form,t1,porfessor
governor,danish,female_form,t1,guvernør
judge,danish,female_form,t1,dommer
sailor,danish,female_form,t1,sejler
postman/postwoman,danish,female_form,t1,postbud
mechanic,danish,female_form,t1,mekaniker
hunter,danish,female_form,t1,jæger
firefighter,danish,female_form,t1,brandmand
dancer,spanish,female_form,t1,bailarina
nurse,spanish,female_form,t1,enfermera
singer,spanish,female_form,t1,cantante
cleaner,spanish,female_form,t1,limpiadora
secretary,spanish,female_form,t1,secretaria
waiter,spanish,female_form,t1,camarera
journalist,spanish,female_form,t1,periodista
baker,spanish,female_form,t1,panadera
author,spanish,female_form,t1,autora
athlete,spanish,female_form,t1,atleta
lawyer,spanish,female_form,t1,abogada
doctor/physician,spanish,female_form,t1,doctora
professor,spanish,female_form,t1,profesora
governor,spanish,female_form,t1,gobernadora
judge,spanish,female_form,t1,jueza
sailor,spanish,female_form,t1,marinera
postman/postwoman,spanish,female_form,t1,cartera
mechanic,spanish,female_form,t1,mecánica
hunter,spanish,female_form,t1,cazadora
firefighter,spanish,female_form,t1,bombera
dancer,farsi,female_form,t1,رقاص،_رقصگر،_رامشگر
nurse,farsi,female_form,t1,پرستار
singer,farsi,female_form,t1,خواننده
cleaner,farsi,female_form,t1,کلفت_خانه
secretary,farsi,female_form,t1,دبیر
waiter,farsi,female_form,t1,پیشخدمت
journalist,farsi,female_form,t1,روزنامه_نگار
baker,farsi,female_form,t1,نانوا
author,farsi,female_form,t1,نگارنده
athlete,farsi,female_form,t1,ورزشکار
lawyer,farsi,female_form,t1,وکیل_دادگستری
doctor/physician,farsi,female_form,t1,پزشک
professor,farsi,female_form,t1,استاد
governor,farsi,female_form,t1,استاندار
judge,farsi,female_form,t1,دادرس
sailor,farsi,female_form,t1,ملوان
postman/postwoman,farsi,female_form,t1,نامه_رسان
mechanic,farsi,female_form,t1,مکانیک
hunter,farsi,female_form,t1,شکارچی
firefighter,farsi,female_form,t1,مامور_آتش_نشانی
dancer,finnish,female_form,t1,tanssija
nurse,finnish,female_form,t1,sairaanhoitaja
singer,finnish,female_form,t1,laulaja
cleaner,finnish,female_form,t1,puhdistusaine
secretary,finnish,female_form,t1,ministeri
waiter,finnish,female_form,t1,tarjoilijatar
journalist,finnish,female_form,t1,toimittaja
baker,finnish,female_form,t1,leipuri
author,finnish,female_form,t1,tekijä
athlete,finnish,female_form,t1,atleetti
lawyer,finnish,female_form,t1,asianajaja
doctor/physician,finnish,female_form,t1,lääkäri
professor,finnish,female_form,t1,opettaja
governor,finnish,female_form,t1,kuvernööri
judge,finnish,female_form,t1,tuomari
sailor,finnish,female_form,t1,merimies
postman/postwoman,finnish,female_form,t1,postinjakaja
mechanic,finnish,female_form,t1,mekaanikko
hunter,finnish,female_form,t1,metsästäjä
firefighter,finnish,female_form,t1,palomies
dancer,french,female_form,t1,danseuse
nurse,french,female_form,t1,infirmière
singer,french,female_form,t1,chanteuse
cleaner,french,female_form,t1,femme_de_ménage
secretary,french,female_form,t1,secrétaire
waiter,french,female_form,t1,serveuse
journalist,french,female_form,t1,journaliste
baker,french,female_form,t1,boulangère
author,french,female_form,t1,auteur
athlete,french,female_form,t1,athlète
lawyer,french,female_form,t1,avocate
doctor/physician,french,female_form,t1,docteur
professor,french,female_form,t1,professeur
governor,french,female_form,t1,directrice
judge,french,female_form,t1,juge
sailor,french,female_form,t1,pêcheur
postman/postwoman,french,female_form,t1,facteur
mechanic,french,female_form,t1,mécanicienne
hunter,french,female_form,t1,chasseuse
firefighter,french,female_form,t1,pompier
dancer,hebrew,female_form,t1,רקדנית
nurse,hebrew,female_form,t1,אחות
singer,hebrew,female_form,t1,זמרת
cleaner,hebrew,female_form,t1,מנקה
secretary,hebrew,female_form,t1,מזכירה
waiter,hebrew,female_form,t1,מלצרית
journalist,hebrew,female_form,t1,עיתונאית
baker,hebrew,female_form,t1,אופה
author,hebrew,female_form,t1,סופרת
athlete,hebrew,female_form,t1,ספורטאית
